,0,1,2,3,4,5,6,7,8,9,10,11
"('Q0', 'Q1')","{'1': 66, '0': 5054}","{'1': 4882, '0': 238}","{'0': 5059, '1': 61}","{'1': 4911, '0': 209}","{'0': 5036, '1': 84}","{'0': 5023, '1': 97}","{'1': 4665, '0': 455}","{'1': 4637, '0': 483}","{'00': 4959, '10': 49, '01': 110, '11': 2}","{'10': 4794, '11': 137, '00': 188, '01': 1}","{'01': 4558, '00': 517, '11': 33, '10': 12}","{'11': 4474, '10': 409, '01': 218, '00': 19}"
"('Q4', 'Q5')","{'0': 5096, '1': 24}","{'1': 5023, '0': 97}","{'0': 5098, '1': 22}","{'1': 5021, '0': 99}","{'0': 4814, '1': 306}","{'0': 4805, '1': 315}","{'1': 4487, '0': 633}","{'1': 4185, '0': 935}","{'00': 4704, '01': 394, '10': 21, '11': 1}","{'10': 4641, '11': 366, '00': 104, '01': 9}","{'01': 4157, '00': 948, '11': 11, '10': 4}","{'10': 735, '11': 4263, '00': 19, '01': 103}"
"('Q8', 'Q9')","{'0': 5068, '1': 52}","{'1': 4883, '0': 237}","{'0': 5051, '1': 69}","{'0': 142, '1': 4978}","{'0': 5036, '1': 84}","{'0': 5055, '1': 65}","{'1': 4971, '0': 149}","{'1': 4971, '0': 149}","{'00': 4995, '01': 65, '10': 60}","{'10': 4820, '01': 40, '00': 236, '11': 24}","{'01': 4932, '00': 158, '11': 27, '10': 3}","{'01': 3829, '11': 1123, '10': 136, '00': 32}"
"('Q15', 'Q16')","{'0': 5048, '1': 72}","{'1': 4883, '0': 237}","{'0': 5040, '1': 80}","{'1': 4846, '0': 274}","{'0': 4954, '1': 166}","{'0': 4977, '1': 143}","{'1': 3804, '0': 1316}","{'0': 1317, '1': 3803}","{'00': 4915, '01': 145, '10': 58, '11': 2}","{'10': 4720, '00': 238, '11': 161, '01': 1}","{'00': 1099, '01': 3942, '11': 56, '10': 23}","{'11': 3703, '10': 1139, '01': 213, '00': 65}"
"('Q19', 'Q20')","{'0': 5095, '1': 25}","{'1': 4980, '0': 140}","{'0': 5082, '1': 38}","{'1': 5007, '0': 113}","{'0': 5079, '1': 41}","{'0': 5079, '1': 41}","{'1': 5020, '0': 100}","{'1': 4981, '0': 139}","{'00': 5028, '10': 35, '01': 57}","{'10': 4962, '11': 40, '00': 117, '01': 1}","{'01': 4944, '00': 131, '11': 44, '10': 1}","{'11': 4705, '10': 291, '01': 120, '00': 4}"
"('Q26', 'Q27')","{'0': 5078, '1': 42}","{'1': 4910, '0': 210}","{'0': 5094, '1': 26}","{'1': 4891, '0': 229}","{'0': 5057, '1': 63}","{'0': 5056, '1': 64}","{'1': 4747, '0': 373}","{'1': 4784, '0': 336}","{'00': 4989, '01': 91, '10': 40}","{'10': 4820, '00': 236, '11': 61, '01': 3}","{'01': 4714, '00': 361, '11': 41, '10': 4}","{'10': 303, '01': 213, '11': 4585, '00': 19}"
"('Q30', 'Q31')","{'0': 4966, '1': 154}","{'1': 4786, '0': 334}","{'0': 4971, '1': 149}","{'1': 4242, '0': 878}","{'0': 4887, '1': 233}","{'0': 4895, '1': 225}","{'1': 4438, '0': 682}","{'1': 4472, '0': 648}","{'00': 4710, '10': 140, '01': 262, '11': 8}","{'00': 332, '10': 4503, '11': 256, '01': 29}","{'01': 4229, '00': 726, '11': 143, '10': 22}","{'11': 3711, '01': 645, '10': 699, '00': 65}"
"('Q34', 'Q35')","{'0': 5045, '1': 75}","{'1': 4944, '0': 176}","{'0': 5042, '1': 78}","{'1': 4934, '0': 186}","{'0': 5042, '1': 78}","{'0': 5040, '1': 80}","{'1': 4933, '0': 187}","{'1': 4949, '0': 171}","{'00': 4983, '01': 87, '10': 49, '11': 1}","{'10': 4837, '00': 185, '11': 91, '01': 7}","{'01': 4854, '11': 73, '00': 189, '10': 4}","{'11': 4744, '10': 168, '01': 198, '00': 10}"
"('Q41', 'Q42')","{'0': 5038, '1': 82}","{'1': 4883, '0': 237}","{'0': 5043, '1': 77}","{'1': 4925, '0': 195}","{'0': 5058, '1': 62}","{'0': 5067, '1': 53}","{'1': 4318, '0': 802}","{'1': 4326, '0': 794}","{'00': 4967, '10': 95, '01': 57, '11': 1}","{'10': 4863, '00': 202, '11': 52, '01': 3}","{'01': 4167, '00': 868, '11': 67, '10': 18}","{'10': 531, '11': 4365, '01': 204, '00': 20}"
"('Q45', 'Q46')","{'0': 5052, '1': 68}","{'1': 4953, '0': 167}","{'0': 5074, '1': 46}","{'1': 4846, '0': 274}","{'0': 5086, '1': 34}","{'0': 5088, '1': 32}","{'1': 4829, '0': 291}","{'0': 472, '1': 4648}","{'00': 5035, '01': 38, '10': 47}","{'10': 4616, '00': 366, '11': 42, '01': 96}","{'01': 4717, '00': 309, '11': 62, '10': 32}","{'11': 3773, '10': 1052, '00': 76, '01': 219}"
"('Q56', 'Q57')","{'0': 5047, '1': 73}","{'1': 4842, '0': 278}","{'0': 5066, '1': 54}","{'1': 4827, '0': 293}","{'0': 4971, '1': 149}","{'0': 4997, '1': 123}","{'1': 4899, '0': 221}","{'1': 4878, '0': 242}","{'00': 4924, '10': 54, '01': 140, '11': 2}","{'10': 4728, '00': 226, '11': 151, '01': 15}","{'01': 4842, '00': 212, '11': 62, '10': 4}","{'11': 3937, '01': 868, '10': 294, '00': 21}"
"('Q60', 'Q61')","{'0': 5040, '1': 80}","{'1': 4952, '0': 168}","{'0': 5075, '1': 45}","{'1': 4981, '0': 139}","{'0': 5039, '1': 81}","{'0': 5036, '1': 84}","{'1': 4812, '0': 308}","{'1': 4855, '0': 265}","{'00': 5002, '01': 82, '10': 36}","{'10': 4892, '00': 140, '11': 86, '01': 2}","{'01': 4797, '00': 283, '11': 36, '10': 4}","{'11': 4709, '01': 164, '10': 233, '00': 14}"
