,0,1,2,3,4,5,6,7,8,9,10,11
"('Q0', 'Q1')",2408012003508204217,2408012004360062563,2408012005190650630,2408012005529804447,2408012006355914633,2408012007181306470,2408012007520311703,2408012008344659769,2408012009170814183,2408012009510229470,2408012010336477917,2408012011159563854
"('Q4', 'Q5')",2408012003511881063,2408012004362433162,2408012005193036932,2408012005532195536,2408012006358307284,2408012007183643342,2408012007522723571,2408012008347063098,2408012009173179218,2408012009512582947,2408012010338846506,2408012011161963455
"('Q8', 'Q9')",2408012003515397971,2408012004364780606,2408012005195428964,2408012005534539574,2408012006360687581,2408012007185982958,2408012007525104442,2408012008349408805,2408012009175590828,2408012009514955350,2408012010341216669,2408012011164349521
"('Q15', 'Q16')",2408012003518870661,2408012004367154930,2408012005197815513,2408012005536916196,2408012006363110489,2408012007188360875,2408012007527477002,2408012008351792628,2408012009177992731,2408012009517361821,2408012010343628855,2408012011166727923
"('Q19', 'Q20')",2408012003522436028,2408012004369733986,2408012005200180838,2408012005539275947,2408012006365423628,2408012007190721205,2408012007529884413,2408012008354150507,2408012009180383910,2408012009519683562,2408012010346047875,2408012011169083253
"('Q26', 'Q27')",2408012003525706058,2408012004372322312,2408012005202530409,2408012005541657398,2408012006367747152,2408012007193141686,2408012007532294679,2408012008356505121,2408012009182763597,2408012009522048531,2408012010348446324,2408012011171474617
"('Q30', 'Q31')",2408012003528260056,2408012004375164216,2408012005204928280,2408012005544017260,2408012006370081464,2408012007195532088,2408012007534633547,2408012008358928243,2408012009185145757,2408012009524409774,2408012010350831971,2408012011173852725
"('Q34', 'Q35')",2408012003531970807,2408012004377628428,2408012005207329390,2408012005546403148,2408012006372754645,2408012007197930493,2408012007536964063,2408012008361304704,2408012009187514566,2408012009526793622,2408012010353170446,2408012011176275708
"('Q41', 'Q42')",2408012003535549682,2408012004380529178,2408012005209744443,2408012005548815486,2408012006375122476,2408012007200293185,2408012007539355033,2408012008363690588,2408012009189891875,2408012009529195236,2408012010355574768,2408012011178666923
"('Q45', 'Q46')",2408012003538959013,2408012004382913483,2408012005212133143,2408012005551217782,2408012006377524140,2408012007202718932,2408012007541695847,2408012008366062071,2408012009192245659,2408012009531574708,2408012010357919365,2408012011180991729
"('Q56', 'Q57')",2408012003542586513,2408012004385293035,2408012005214509723,2408012005553598222,2408012006379967751,2408012007205097651,2408012007544091490,2408012008368444817,2408012009194619359,2408012009533979051,2408012010360316169,2408012011183377928
"('Q60', 'Q61')",2408012003546173636,2408012004388036976,2408012005216896058,2408012005555925185,2408012006382367827,2408012007207466932,2408012007546473704,2408012008370835475,2408012009196991765,2408012009536357584,2408012010362697654,2408012011185766159
"('Q67', 'Q68')",2408012003549904248,2408012004390457421,2408012005219287689,2408012005558276373,2408012006384757735,2408012007209862798,2408012007548834727,2408012008373206721,2408012009199325223,2408012009538720281,2408012010365068229,2408012011188141698
"('Q71', 'Q72')",2408012003553766530,2408012004392864206,2408012005221692879,2408012005560738320,2408012006387119524,2408012007212238344,2408012007551232803,2408012008375584711,2408012009201714475,2408012009541106996,2408012010367466250,2408012011190551662
"('Q75', 'Q76')",2408012003556937806,2408012004395245697,2408012005224042729,2408012005563096567,2408012006389458546,2408012007214606221,2408012007553617975,2408012008377980861,2408012009204123057,2408012009543505013,2408012010369815403,2408012011192956513
"('Q78', 'Q79')",2408012003560463497,2408012004397627128,2408012005226419382,2408012005565487854,2408012006391832090,2408012007217013939,2408012007555986803,2408012008380376609,2408012009206548263,2408012009545920439,2408012010372178638,2408012011195353723
"('Q82', 'Q83')",2408012003564074112,2408012004400022446,2408012005228810375,2408012005567883575,2408012006394240770,2408012007219392367,2408012007558341907,2408012008382744616,2408012009208917492,2408012009548313152,2408012010374552949,2408012011197694407
"('Q86', 'Q87')",2408012003567679558,2408012004402408043,2408012005231170190,2408012005570282391,2408012006396642556,2408012007221772665,2408012007560718955,2408012008385125010,2408012009211297716,2408012009550719236,2408012010376915926,2408012011200064478
"('Q93', 'Q94')",2408012003571113212,2408012004404809497,2408012005233559178,2408012005572637978,2408012006399019380,2408012007224170525,2408012007563089795,2408012008387481944,2408012009213637464,2408012009553046422,2408012010379294009,2408012011202418642
"('Q97', 'Q98')",2408012003574685016,2408012004407215572,2408012005235919092,2408012005575024019,2408012006401422887,2408012007226555707,2408012007565423907,2408012008389887589,2408012009216035271,2408012009555438657,2408012010381677866,2408012011204814541
"('Q101', 'Q102')",2408012003577220806,2408012004409610949,2408012005238277394,2408012005577390874,2408012006403837839,2408012007228928106,2408012007567835064,2408012008392273192,2408012009218388132,2408012009557809961,2408012010384087054,2408012011207195182
"('Q104', 'Q105')",2408012003579603117,2408012004411988516,2408012005240635578,2408012005579778671,2408012006406184282,2408012007231304399,2408012007570210840,2408012008394625598,2408012009220787074,2408012009560222290,2408012010386427929,2408012011209544413
"('Q119', 'Q120')",2408012003581964302,2408012004414377934,2408012005243025687,2408012005582147905,2408012006408575717,2408012007233728733,2408012007572561547,2408012008397014774,2408012009223118145,2408012009562648375,2408012010388779935,2408012011212141063
"('Q123', 'Q124')",2408012003584321134,2408012004416867687,2408012005245420563,2408012005584526811,2408012006410997209,2408012007236131371,2408012007574888872,2408012008399392329,2408012009225500461,2408012009565016943,2408012010391155616,2408012011214572456
"('Q127', 'Q128')",2408012003586666700,2408012004419228305,2408012005247886570,2408012005586906401,2408012006413384260,2408012007238493832,2408012007577272680,2408012008401768879,2408012009227922527,2408012009567367307,2408012010393523773,2408012011216933656
