,0,1,2,3,4,5,6,7,8,9,10,11
C0,0.987109375,0.953515625,0.9880859375,0.9591796875,0.98359375,0.9810546875,0.9111328125,0.9056640625,0.9685546875,0.936328125,0.890234375,0.873828125
C4,0.9953125,0.9810546875,0.995703125,0.9806640625,0.940234375,0.9384765625,0.8763671875,0.8173828125,0.91875,0.9064453125,0.8119140625,0.8326171875
C8,0.98984375,0.9537109375,0.9865234375,0.972265625,0.98359375,0.9873046875,0.9708984375,0.9708984375,0.9755859375,0.94140625,0.96328125,0.2193359375
C17,0.9859375,0.9537109375,0.984375,0.946484375,0.967578125,0.9720703125,0.74296875,0.7427734375,0.9599609375,0.921875,0.769921875,0.7232421875
C21,0.9951171875,0.97265625,0.992578125,0.9779296875,0.9919921875,0.9919921875,0.98046875,0.9728515625,0.98203125,0.969140625,0.965625,0.9189453125
C31,0.991796875,0.958984375,0.994921875,0.9552734375,0.9876953125,0.9875,0.9271484375,0.934375,0.9744140625,0.94140625,0.920703125,0.8955078125
C35,0.969921875,0.934765625,0.9708984375,0.828515625,0.9544921875,0.9560546875,0.866796875,0.8734375,0.919921875,0.8794921875,0.8259765625,0.7248046875
C39,0.9853515625,0.965625,0.984765625,0.963671875,0.984765625,0.984375,0.9634765625,0.9666015625,0.9732421875,0.9447265625,0.948046875,0.9265625
C48,0.983984375,0.9537109375,0.9849609375,0.9619140625,0.987890625,0.9896484375,0.843359375,0.844921875,0.9701171875,0.9498046875,0.8138671875,0.8525390625
C52,0.98671875,0.9673828125,0.991015625,0.946484375,0.993359375,0.99375,0.9431640625,0.9078125,0.9833984375,0.9015625,0.9212890625,0.7369140625
C66,0.9857421875,0.945703125,0.989453125,0.9427734375,0.9708984375,0.9759765625,0.9568359375,0.952734375,0.96171875,0.9234375,0.945703125,0.7689453125
C70,0.984375,0.9671875,0.9912109375,0.9728515625,0.9841796875,0.98359375,0.93984375,0.9482421875,0.976953125,0.95546875,0.9369140625,0.9197265625
C79,0.98359375,0.9373046875,0.987890625,0.931640625,0.9853515625,0.985546875,0.9412109375,0.933984375,0.975,0.9162109375,0.92890625,0.86328125
C83,0.9796875,0.941015625,0.980078125,0.9421875,0.9814453125,0.9853515625,0.9341796875,0.93046875,0.9638671875,0.91953125,0.9033203125,0.8908203125
C87,0.983203125,0.94765625,0.9890625,0.95234375,0.987109375,0.9884765625,0.9314453125,0.9453125,0.978125,0.9193359375,0.928515625,0.88671875
C93,0.9943359375,0.9451171875,0.99375,0.94375,0.9935546875,0.9884765625,0.9318359375,0.9240234375,0.985546875,0.92734375,0.91875,0.823828125
C97,0.993359375,0.963671875,0.991015625,0.9642578125,0.9822265625,0.979296875,0.91015625,0.9298828125,0.978515625,0.9486328125,0.9515625,0.89296875
C101,0.993359375,0.9615234375,0.9919921875,0.9609375,0.98671875,0.984375,0.8791015625,0.87109375,0.98125,0.9490234375,0.8947265625,0.6587890625
C110,0.9875,0.9259765625,0.9880859375,0.9150390625,0.976171875,0.976171875,0.9330078125,0.934375,0.9892578125,0.773046875,0.5404296875,0.566796875
C114,0.9939453125,0.9625,0.99453125,0.955859375,0.988671875,0.98984375,0.9439453125,0.92734375,0.982421875,0.95859375,0.9298828125,0.9005859375
C118,0.9876953125,0.948828125,0.988671875,0.9529296875,0.9939453125,0.9921875,0.9505859375,0.9533203125,0.9833984375,0.9296875,0.952734375,0.9013671875
C124,0.995703125,0.9474609375,0.992578125,0.9423828125,0.9888671875,0.9927734375,0.8859375,0.903515625,0.9859375,0.9390625,0.8931640625,0.8546875
